folder,device_id,cycle_count,cycle_delta_from_20,total_blocks,set_blocks,reset_blocks,first_record_time,last_record_time,first_file,last_file,measurement_ids,total_devices_in_folder,total_cycles_in_folder
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-08,20,0,60,20,40,2024-08-30 16:08:33,2024-08-30 16:10:37,"[B6-03-4um-08,SET-RESET,20,8_30_2024 4_08_33 PM].csv","[B6-03-4um-08,SET-RESET,20,8_30_2024 4_10_37 PM].csv",20,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-09,19,-1,57,19,38,2024-08-30 16:19:02,2024-08-30 16:21:08,"[B6-03-4um-09,SET-RESET,21,8_30_2024 4_19_02 PM].csv","[B6-03-4um-09,SET-RESET,21,8_30_2024 4_21_08 PM].csv",21,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-12,16,-4,48,16,32,2024-08-30 16:23:46,2024-08-30 16:25:23,"[B6-03-4um-12,SET-RESET,23,8_30_2024 4_23_46 PM].csv","[B6-03-4um-12,SET-RESET,23,8_30_2024 4_25_23 PM].csv",23,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-01,20,0,60,20,40,2024-08-30 17:14:52,2024-08-30 17:16:55,"[D1-01-4um-01,SET-RESET,37,8_30_2024 5_14_52 PM].csv","[D1-01-4um-01,SET-RESET,37,8_30_2024 5_16_55 PM].csv",37,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-02,20,0,60,20,40,2024-08-30 17:18:38,2024-08-30 17:20:39,"[D1-01-4um-02,SET-RESET,38,8_30_2024 5_18_38 PM].csv","[D1-01-4um-02,SET-RESET,38,8_30_2024 5_20_39 PM].csv",38,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-03,20,0,60,20,40,2024-08-30 17:26:23,2024-08-30 17:28:26,"[D1-01-4um-03,SET-RESET,39,8_30_2024 5_26_23 PM].csv","[D1-01-4um-03,SET-RESET,39,8_30_2024 5_28_26 PM].csv",39,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-04,20,0,60,20,40,2024-08-30 17:29:42,2024-08-30 17:31:42,"[D1-01-4um-04,SET-RESET,40,8_30_2024 5_29_42 PM].csv","[D1-01-4um-04,SET-RESET,40,8_30_2024 5_31_42 PM].csv",40,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-05,20,0,60,20,40,2024-08-30 17:32:39,2024-08-30 17:34:39,"[D1-01-4um-05,SET-RESET,41,8_30_2024 5_32_39 PM].csv","[D1-01-4um-05,SET-RESET,41,8_30_2024 5_34_39 PM].csv",41,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-06,20,0,60,20,40,2024-08-30 17:39:04,2024-08-30 17:41:06,"[D1-01-4um-06,SET-RESET,42,8_30_2024 5_39_04 PM].csv","[D1-01-4um-06,SET-RESET,42,8_30_2024 5_41_06 PM].csv",42,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-07,20,0,60,20,40,2024-08-30 17:42:00,2024-08-30 17:44:00,"[D1-01-4um-07,SET-RESET,43,8_30_2024 5_42_00 PM].csv","[D1-01-4um-07,SET-RESET,43,8_30_2024 5_44_00 PM].csv",43,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-08,20,0,60,20,40,2024-08-30 17:46:02,2024-08-30 17:48:08,"[D1-01-4um-08,SET-RESET,44,8_30_2024 5_46_02 PM].csv","[D1-01-4um-08,SET-RESET,44,8_30_2024 5_48_08 PM].csv",44,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-09,20,0,60,20,40,2024-08-30 17:49:26,2024-08-30 17:51:28,"[D1-01-4um-09,SET-RESET,45,8_30_2024 5_49_26 PM].csv","[D1-01-4um-09,SET-RESET,45,8_30_2024 5_51_28 PM].csv",45,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-10,20,0,60,20,40,2024-08-30 17:53:56,2024-08-30 17:55:58,"[D1-01-4um-10,SET-RESET,46,8_30_2024 5_53_56 PM].csv","[D1-01-4um-10,SET-RESET,46,8_30_2024 5_55_58 PM].csv",46,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-11,20,0,60,20,40,2024-08-30 17:56:59,2024-08-30 17:59:00,"[D1-01-4um-11,SET-RESET,47,8_30_2024 5_56_59 PM].csv","[D1-01-4um-11,SET-RESET,47,8_30_2024 5_59_00 PM].csv",47,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D1-01-4um-12,20,0,60,20,40,2024-08-30 18:00:24,2024-08-30 18:02:25,"[D1-01-4um-12,SET-RESET,48,8_30_2024 6_00_24 PM].csv","[D1-01-4um-12,SET-RESET,48,8_30_2024 6_02_25 PM].csv",48,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-01,20,0,60,20,40,2024-08-30 18:06:19,2024-08-30 18:08:21,"[D4-01-4um-01,SET-RESET,49,8_30_2024 6_06_19 PM].csv","[D4-01-4um-01,SET-RESET,49,8_30_2024 6_08_21 PM].csv",49,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-02,20,0,60,20,40,2024-08-30 18:10:55,2024-08-30 18:12:59,"[D4-01-4um-02,SET-RESET,50,8_30_2024 6_10_55 PM].csv","[D4-01-4um-02,SET-RESET,50,8_30_2024 6_12_59 PM].csv",50,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-03,20,0,60,20,40,2024-08-30 18:15:22,2024-08-30 18:17:21,"[D4-01-4um-03,SET-RESET,51,8_30_2024 6_15_22 PM].csv","[D4-01-4um-03,SET-RESET,51,8_30_2024 6_17_21 PM].csv",51,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-04,20,0,60,20,40,2024-08-30 18:20:55,2024-08-30 18:22:59,"[D4-01-4um-04,SET-RESET,52,8_30_2024 6_20_55 PM].csv","[D4-01-4um-04,SET-RESET,52,8_30_2024 6_22_59 PM].csv",52,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-05,20,0,60,20,40,2024-08-30 18:25:45,2024-08-30 18:27:46,"[D4-01-4um-05,SET-RESET,53,8_30_2024 6_25_45 PM].csv","[D4-01-4um-05,SET-RESET,53,8_30_2024 6_27_46 PM].csv",53,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-06,20,0,60,20,40,2024-08-30 18:29:03,2024-08-30 18:31:05,"[D4-01-4um-06,SET-RESET,54,8_30_2024 6_29_03 PM].csv","[D4-01-4um-06,SET-RESET,54,8_30_2024 6_31_05 PM].csv",54,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-07,20,0,60,20,40,2024-08-30 18:33:38,2024-08-30 18:35:39,"[D4-01-4um-07,SET-RESET,55,8_30_2024 6_33_38 PM].csv","[D4-01-4um-07,SET-RESET,55,8_30_2024 6_35_39 PM].csv",55,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-08,20,0,60,20,40,2024-08-30 18:36:48,2024-08-30 18:38:50,"[D4-01-4um-08,SET-RESET,56,8_30_2024 6_36_48 PM].csv","[D4-01-4um-08,SET-RESET,56,8_30_2024 6_38_50 PM].csv",56,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-09,20,0,60,20,40,2024-08-30 18:39:51,2024-08-30 18:41:53,"[D4-01-4um-09,SET-RESET,57,8_30_2024 6_39_51 PM].csv","[D4-01-4um-09,SET-RESET,57,8_30_2024 6_41_53 PM].csv",57,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-10,20,0,60,20,40,2024-08-30 18:43:33,2024-08-30 18:45:38,"[D4-01-4um-10,SET-RESET,58,8_30_2024 6_43_33 PM].csv","[D4-01-4um-10,SET-RESET,58,8_30_2024 6_45_38 PM].csv",58,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-11,20,0,60,20,40,2024-08-30 18:47:01,2024-08-30 18:49:04,"[D4-01-4um-11,SET-RESET,59,8_30_2024 6_47_01 PM].csv","[D4-01-4um-11,SET-RESET,59,8_30_2024 6_49_04 PM].csv",59,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,D4-01-4um-12,20,0,60,20,40,2024-08-30 18:51:04,2024-08-30 18:53:08,"[D4-01-4um-12,SET-RESET,60,8_30_2024 6_51_04 PM].csv","[D4-01-4um-12,SET-RESET,60,8_30_2024 6_53_08 PM].csv",60,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,ALL_DEVICES,1099,,3297,1099,2198,2024-08-30 14:12:59,2024-08-30 18:53:08,,,,57,1099
