 V1-form,i1-form,V1-set,i1-set
4.38,4.24E-07,4.55,0.00050004
4.4,2.59E-07,4.525,0.00050004
4.42,2.82E-07,4.5,0.00050002
4.44,2.36E-07,4.475,0.00050004
4.46,2.68E-07,4.45,0.00050002
4.48,2.07E-07,4.425,0.00050002
4.5,2.23E-07,4.4,0.00050002
4.52,2.35E-07,4.375,0.00050004
4.54,2.63E-07,4.35,0.00050004
4.56,2.88E-07,4.325,0.00050002
4.58,3.45E-07,4.3,0.00050002
4.6,3.19E-07,4.275,0.0005
4.62,2.47E-07,4.25,0.00050004
4.64,4.14E-07,4.225,0.00050004
4.66,3.44E-07,4.2,0.0005
4.68,4.31E-07,4.175,0.00050002
4.7,5.54E-07,4.15,0.00050004
4.72,0.00050006,4.125,0.00050002
4.74,0.00050004,4.1,0.00050002
4.76,0.0005,4.075,0.00050002
4.78,0.0005,4.05,0.0005
4.8,0.0005,4.025,0.00050002
4.82,0.00050004,4,0.00050004
4.84,0.00050002,3.975,0.00050004
4.86,0.00050004,3.95,0.00050004
4.88,0.00050004,3.925,0.00050002
4.9,0.0005,3.9,0.00050004
4.92,0.00049998,3.875,0.00050002
4.94,0.0005,3.85,0.00050002
4.96,0.00050002,3.825,0.00050004
4.98,0.00050004,3.8,0.00050004
5,0.00050002,3.775,0.00050002
5.02,0.00050004,3.75,0.00050002
5.04,0.00050002,3.725,0.0005
5.06,0.00050004,3.7,0.00050004
5.08,0.0005,3.675,0.00050004
5.1,0.00050006,3.65,0.00050002
5.12,0.0005,3.625,0.00050002
5.14,0.00050002,3.6,0.00050002
5.16,0.00050006,3.575,0.00050002
5.18,0.00050004,3.55,0.00050002
5.2,0.00050004,3.525,0.00050004
5.22,0.00050002,3.5,0.00050002
5.24,0.00050002,3.475,0.00050004
5.26,0.00050002,3.45,0.00050002
5.28,0.00050002,3.425,0.00050002
5.3,0.00050006,3.4,0.00050002
5.32,0.00050004,3.375,0.00050002
5.34,0.00050002,3.35,0.00050002
5.36,0.00050002,3.325,0.00050002
5.38,0.00050002,3.3,0.0005
5.4,0.00050004,3.275,0.00050002
5.42,0.00050006,3.25,0.00050002
5.44,0.00050002,3.225,0.00050004
5.46,0.00050002,3.2,0.00050002
5.48,0.00050002,3.175,0.00050002
5.5,0.0005,3.15,0.00050002
5.52,0.00050004,3.125,0.00050002
5.54,0.00050002,3.1,0.00050002
5.56,0.00050002,3.075,0.00050004
5.58,0.0005,3.05,0.00050002
5.6,0.0005,3.025,0.0005
5.62,0.00050004,3,0.00050002
5.64,0.00050004,2.975,0.00050002
5.66,0.00050004,2.95,0.00050002
5.68,0.00050002,2.925,0.00050004
5.7,0.00050002,2.9,0.00050002
5.72,0.00050002,2.875,0.00050002
5.74,0.00050002,2.85,0.00050002
5.76,0.00050004,2.825,0.0005
5.78,0.00050004,2.8,0.00050004
5.8,0.00050002,2.775,0.00050004
5.82,0.00050002,2.75,0.00050004
5.84,0.00050002,2.725,0.00050002
5.86,0.00050004,2.7,0.00050002
5.88,0.00050004,2.675,0.00050002
5.9,0.00050004,2.65,0.00050002
5.92,0.00050002,2.625,0.00050004
5.94,0.00050004,2.6,0.00050004
5.96,0.00050004,2.575,0.00050002
5.98,0.00050004,2.55,0.00050004
6,0.00050002,2.525,0.00050002
6.02,0.00050004,2.5,0.00050004
6.04,0.00050004,2.475,0.0005
6.06,0.0005,2.45,0.00050002
6.08,0.00050004,2.425,0.00050004
6.1,0.00050004,2.4,0.00050002
6.12,0.00050002,2.375,0.00050004
6.14,0.0005,2.35,0.00050002
6.16,0.00050002,2.325,0.00050004
6.18,0.00050002,2.3,0.00050004
6.2,0.00050004,2.275,0.00050002
6.22,0.00050002,2.25,0.00050002
6.24,0.00050004,2.225,0.00050004
6.26,0.00050002,2.2,0.00050002
6.28,0.00050004,2.175,0.00050002
6.3,0.00050002,2.15,0.00050004
6.32,0.00050002,2.125,0.00050002
6.34,0.00050002,2.1,0.00050004
6.36,0.00050002,2.075,0.0005
6.38,0.00050002,2.05,0.00050004
6.4,0.0005,2.025,0.0005
6.42,0.00050004,2,0.00050004
6.44,0.00050004,1.975,0.00050002
6.46,0.00050004,1.95,0.00050004
6.48,0.00050004,1.925,0.0005
6.5,0.00050004,1.9,0.00050002
6.52,0.00050002,1.875,0.00050002
6.54,0.00049998,1.85,0.00050002
6.56,0.0005,1.825,0.00050002
6.58,0.00050002,1.8,0.00050002
6.6,0.00050004,1.775,0.00050002
6.62,0.0005,1.75,0.0005
6.64,0.00050002,1.725,0.00050004
6.66,0.00050004,1.7,0.00050002
6.68,0.00050002,1.675,0.00050004
6.7,0.00050004,1.65,0.0005
6.72,0.0005,1.625,0.0005
6.74,0.00050004,1.6,0.00050002
6.76,0.00050002,1.575,0.00050004
6.78,0.0005,1.55,0.00050002
6.8,0.00050004,1.525,0.00050002
6.82,0.00050002,1.5,0.0005
6.84,0.00050002,1.475,0.00050004
6.86,0.00050002,1.45,0.00050002
6.88,0.00050002,1.425,0.00050002
6.9,0.00050004,1.4,0.00050004
6.92,0.00050002,1.375,0.00050004
6.94,0.00050002,1.35,0.00050004
6.96,0.00050004,1.325,0.00050004
6.98,0.00050002,1.3,0.00050004
7,0.00050002,1.275,0.00050004
7.02,0.00050004,1.25,0.00050002
7.04,0.00050004,1.225,0.0005
7.06,0.00050004,1.2,0.00050002
7.08,0.00050004,1.175,0.00050002
7.1,0.00050004,1.15,0.00050004
7.12,0.0005,1.125,0.00050004
7.14,0.00050002,1.1,0.0005
7.16,0.00050002,1.075,0.00050002
7.18,0.00050004,1.05,0.00050002
7.2,0.00050004,1.025,0.00050002
7.22,0.00050004,1,0.00050004
7.24,0.0005,0.975,0.00050002
7.26,0.00050004,0.95,0.00050004
7.28,0.00050002,0.925,0.0005
7.3,0.00050002,0.9,0.00050002
7.32,0.00050002,0.875,0.00050002
7.34,0.00050002,0.85,0.00050004
7.36,0.00050004,0.825,0.0005
7.38,0.00050004,0.8,0.00050002
7.4,0.00050002,0.775,0.00050002
7.42,0.00050004,0.75,0.00050002
7.44,0.00050004,0.725,0.00050002
7.46,0.00050002,0.7,0.00050002
7.48,0.00050002,0.675,0.00050004
7.5,0.00050004,0.65,0.00050002
7.52,0.0005,0.625,0.0005
7.54,0.00050002,0.6,0.00050004
7.56,0.00050002,0.575,0.0005
7.58,0.0005,0.55,0.0005
7.6,0.00050004,0.525,0.00050004
7.62,0.0005,0.5,0.0005
7.64,0.00050002,0.475,0.00050002
