 V1, I1
4.025,0.00049998
4,0.00050002
3.975,0.00049998
3.95,0.00049998
3.925,0.00050002
3.9,0.0005
3.875,0.00049998
3.85,0.00049998
3.825,0.00049998
3.8,0.00049998
3.775,0.00049998
3.75,0.0005
3.725,0.00050002
3.7,0.00049998
3.675,0.00050002
3.65,0.00050002
3.625,0.00049998
3.6,0.00049998
3.575,0.00050002
3.55,0.00049998
3.525,0.0005
3.5,0.00050002
3.475,0.00050002
3.45,0.00049998
3.425,0.0005
3.4,0.00049998
3.375,0.00050002
3.35,0.0005
3.325,0.0005
3.3,0.0005
3.275,0.00049998
3.25,0.0005
3.225,0.00049998
3.2,0.00049998
3.175,0.0005
3.15,0.00049998
3.125,0.0005
3.1,0.0005
3.075,0.0005
3.05,0.00049998
3.025,0.0005
3,0.00050002
2.975,0.0005
2.95,0.0005
2.925,0.00049998
2.9,0.00049998
2.875,0.00049998
2.85,0.0005
2.825,0.00049998
2.8,0.00050002
2.775,0.0005
2.75,0.00049998
2.725,0.0005
2.7,0.0005
2.675,0.0005
2.65,0.00050002
2.625,0.00050002
2.6,0.00050002
2.575,0.00049998
2.55,0.0005
2.525,0.0005
2.5,0.00049998
2.475,0.00049998
2.45,0.00050002
2.425,0.00050002
2.4,0.00050002
2.375,0.00049998
2.35,0.0005
2.325,0.00049998
2.3,0.00050004
2.275,0.00050002
2.25,0.00050002
2.225,0.00049996
2.2,0.00049998
2.175,0.00050004
2.15,0.00049996
2.125,0.00050002
2.1,0.00049998
2.075,0.00049998
2.05,0.00049998
2.025,0.0005
2,0.00050006
1.975,0.0005
1.95,0.0005
1.925,0.00050002
1.9,0.00049998
1.875,0.00049998
1.85,0.00050002
1.825,0.0005
1.8,0.0005
1.775,0.0005
1.75,0.0005
1.725,0.00050002
1.7,0.00050002
1.675,0.00049996
1.65,0.00050002
1.625,0.0005
1.6,0.0005
1.575,0.00049998
1.55,0.0005
1.525,0.00050002
1.5,0.0005
1.475,0.00050002
1.45,0.00049998
1.425,0.0005
1.4,0.00049998
1.375,0.00050002
1.35,0.0005
1.325,0.00050002
1.3,0.00049996
1.275,0.0005
1.25,0.0005
1.225,0.00050002
1.2,0.00049998
1.175,0.0005
1.15,0.00049998
1.125,0.0005
1.1,0.00050002
1.075,0.00050002
1.05,0.0005
1.025,0.00050002
1,0.0005
0.975,0.00049998
0.95,0.0005
0.925,0.0005
0.9,0.00049996
0.875,0.00050002
0.85,0.00050002
0.825,0.00050002
0.8,0.0005
0.775,0.0005
0.75,0.00050002
0.725,0.0005
0.7,0.00049998
0.675,0.00050002
0.65,0.00049998
0.625,0.00049546
0.6,0.00047738
0.575,0.00045386
0.55,0.00043082
0.525,0.00041004
0.5,0.0003892
0.475,0.00036842
0.45,0.00034812
0.425,0.00032756
0.4,0.00030718
0.375,0.00028706
0.35,0.0002669
0.325,0.00024696
0.3,0.00022742
0.275,0.00020788
0.25,0.00018848
0.225,0.0001691
0.2,0.00015004
0.175,0.00013072
0.15,0.00011204
0.125,9.31E-05
0.1,7.44E-05
0.075,5.58E-05
0.05,3.71E-05
0.025,1.87E-05
0,1.51E-07
