branch,state,v_lo,v_hi,mechanism,slope,intercept,r2,bic,delta_bic,mechanism_second,ambiguous,eps_r_dyn,n_points,stanford_valid,condition
SET,SET_HRS_PRE,0.5,0.85,ohmic,0.9011789984308246,-3.736624747875256,0.9610539078488312,-125.23919264213754,inf,,0,,15,1,S5
SET,SET_LRS_POST,0.05,0.475,ohmic,1.0214444625420611,-3.0281700630808914,0.9998765553579486,-201.9387921588231,92.23117900358132,schottky,0,,18,1,S5
RESET,RESET_LRS_PRE,0.06,1.36,ohmic,0.6621778392131633,-3.281133246085011,0.8537968117381827,-309.93882718981126,inf,,0,,66,1,S5
RESET,RESET_LRS_PRE,0.9,1.78,schottky,2.2352177155203634,-5.619431894775466,0.880363115068149,-205.8153107543096,9.909196187019631,ohmic,0,11.619687101627497,45,0,S5
RESET,RESET_HRS_POST,0.06,0.86,ohmic,1.1796111797250928,-3.466288166486663,0.9978445170863686,-329.97392692432425,84.02085196185229,schottky,0,,41,1,S5
RESET,RESET_HRS_POST,0.38,1.82,schottky,2.034737755316046,-5.351593516318831,0.9618931138536556,-351.47305028276804,55.29243575446151,ohmic,0,14.02223392021262,73,0,S5
RESET,RESET_HRS_POST,1.34,1.98,fowler_nordheim,1.571292411298114,-2.14522073823496,0.9823755620012392,-228.1157471772816,9.510194961838522,ohmic,0,,33,0,S5
SET,SET_HRS_PRE,0.05,0.525,ohmic,0.5718246677765867,-5.03404801184825,0.6946739210665966,-83.36141466075178,7.695237649668343,schottky,0,,20,1,S6
SET,SET_HRS_PRE,0.25,0.625,unclassified,,,,,,,0,,16,0,S6
SET,SET_HRS_PRE,0.35,0.8250000000000001,ohmic,0.6806670633061336,-5.056195426265516,0.5768483406964051,-103.35449543572835,inf,,0,,20,1,S6
SET,SET_HRS_PRE,0.55,0.925,schottky,2.6382273454803142,-7.3255335757000895,0.436127734595823,-45.553989406222506,0.4543520695977889,ohmic,1,8.340837497551437,16,0,S6
SET,SET_HRS_PRE,0.65,1.125,poole_frenkel,8.130060800875958,-11.981511485744722,0.8110545617896548,-37.56437062458589,1.575508169095592,ohmic,1,3.513229327245902,20,1,S6
SET,SET_HRS_PRE,0.85,1.225,fowler_nordheim,4.042040775434336,0.1293038491847146,0.7466093656433184,-31.48238947549749,1.822500356448586,ohmic,1,,16,0,S6
SET,SET_LRS_POST,0.05,0.675,ohmic,1.0017979461231192,-3.404542938048973,0.9984936571350724,-224.7884410963738,68.48950999898943,schottky,0,,26,1,S6
SET,SET_LRS_POST,0.425,0.75,schottky,1.2686590561059217,-4.60224309605812,0.9995945312282464,-173.40720366919487,3.656387367734254,ohmic,1,36.06984260185839,14,0,S6
SET,SET_LRS_POST,0.5,0.975,ohmic,1.1625816137068872,-3.359199579896543,0.9996864816117138,-246.87360415126247,19.76594201350412,schottky,0,,20,1,S6
SET,SET_LRS_POST,0.725,1.05,schottky,1.144759472651311,-4.49749932965251,0.99858807848929,-164.69792265633683,3.646922772652289,ohmic,1,44.30019146691194,14,0,S6
