condition,parameter,theta,theta_point,ci_lo,ci_hi,cv,frac_at_bound
S6,Vel0_res,1.38064,0.153239,0.104722,17.2208,1.293,0.245
S6,gap_max_set,1.68223e-09,1.33753e-09,1.04593e-09,2.53424e-09,0.2709,0.085
S6,gap_max_res,1.56903e-09,1.02363e-09,1.02141e-09,2.51708e-09,0.283,0.1
S6,gap_ini_set,1.27824e-09,1.38362e-09,5.72443e-10,2.22157e-09,0.384,0.005
S6,gap_ini_res,1.51758e-10,7.02679e-11,5.79547e-11,2.39126e-10,0.3712,0.015
S7,I0,0.00407696,0.00151053,0.000699801,0.00932877,0.5701,0.005
S7,g0,3.92686e-10,3.55657e-10,1.78866e-10,4.96979e-10,0.2432,0.04
S7,Rs,160.533,12.6369,10.9043,2522.75,1.322,1
S7,V0_set,1.01086,0.704966,0.707907,1.40552,0.2062,0
S7,V0_res,0.898955,0.781962,0.689601,1.39714,0.2212,0
S7,gamma0_set,17.4607,19.3359,4.64675,23.8144,0.3505,0.055
S7,Ea_set,0.385988,0.625012,0.105557,0.967325,0.6272,0.07
S7,Ea_res,0.641851,0.784978,0.125786,0.977335,0.4361,0.035
S7,F_min_set,1.10714e+09,1.2113e+09,5.12379e+08,2.84442e+09,0.5161,0.075
S7,F_min_res,1.63087e+09,1.28636e+09,5.25677e+08,2.95493e+09,0.4598,0.04
S7,Vel0_set,2.55538,1.02815,0.120362,17.9732,1.084,0.18
S7,Vel0_res,1.89147,3.17197,0.110094,17.0289,1.236,0.22
S7,gap_max_set,1.78798e-09,1.92157e-09,1.03289e-09,2.53e-09,0.2575,0.075
S7,gap_max_res,1.61677e-09,1.09502e-09,1.03705e-09,2.54723e-09,0.279,0.1
S7,gap_ini_set,1.21168e-09,1.34467e-09,5.29181e-10,2.19164e-09,0.4142,0.005
S7,gap_ini_res,1.51992e-10,1.21189e-10,5.8399e-11,2.40649e-10,0.367,0.005
S8,I0,0.00381782,0.00120883,0.000789026,0.00867319,0.5623,0
S8,g0,3.82304e-10,3.9777e-10,1.7837e-10,4.96101e-10,0.2876,0.025
S8,Rs,508.381,34.642,10.7603,3399.68,1.136,1
S8,V0_set,0.701045,0.666358,0.529245,1.05045,0.2057,0
S8,V0_res,0.677726,0.636472,0.530154,1.06402,0.2121,0
S8,gamma0_set,15.4445,19.4622,4.36889,23.6887,0.4171,0.035
S8,Ea_set,0.431646,0.571638,0.108587,0.961119,0.6064,0.03
S8,Ea_res,0.605501,0.759708,0.112569,0.982447,0.489,0.05
S8,F_min_set,1.08368e+09,1.06905e+09,5.0845e+08,2.84104e+09,0.5423,0.045
S8,F_min_res,2.49503e+09,9.6817e+08,5.63744e+08,2.97554e+09,0.4086,0.07
