File Name,Corresponding Data Point,Maximum Subtraction
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_34 PM].csv",0.65,0.00015817999999999998
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_41 PM].csv",0.675,0.00017459599999999998
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_47 PM].csv",0.725,0.00018368000000000003
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_54 PM].csv",0.725,0.00017742000000000002
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_01 PM].csv",0.625,0.00014149600000000002
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_07 PM].csv",0.75,0.00014011999999999998
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_13 PM].csv",0.7,0.00014668000000000003
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_20 PM].csv",0.65,0.00015093999999999996
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_26 PM].csv",0.65,0.000167634
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_32 PM].csv",0.675,0.000174316
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_38 PM].csv",0.7,0.00015471999999999998
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_31_44 PM].csv",0.65,0.00016842399999999997
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_03 PM].csv",0.025,0.0001146666
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_09 PM].csv",0.025,0.00011472493999999999
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_15 PM].csv",0.025,0.00011470018
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_21 PM].csv",0.025,0.00011392020000000001
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_27 PM].csv",0.025,0.0001140073
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_33 PM].csv",0.025,0.00011462788
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_39 PM].csv",0.025,0.00011465863999999999
"[B6-01-4um-10,SET-RESET,49,9_4_2024 2_33_46 PM].csv",0.025,0.00011464214
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_34_36 PM].csv",0.85,0.000128394
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_34_43 PM].csv",0.875,8.342000000000001e-05
"[B6-01-4um-11,SET-RESET,50,9_4_2024 2_34_49 PM].csv",0.6,0.000146524
