condition,parameter,theta_point,bs_median,ci_lo,ci_hi,refined_inside_ci
S6,F_min_set,1516341971.0370631,1318821088.2639933,530779517.7331787,2905866730.0169544,True
S6,F_min_res,1374859605.2927022,1763942685.0205588,529487944.0952268,2972929598.3172684,True
S6,Vel0_set,0.39850656048814903,2.7551928639770127,0.11745796521504846,17.316408946834333,True
S6,Vel0_res,0.15323900405698923,1.3806387111617857,0.10472152012313272,17.22081618172181,True
S6,gap_max_set,1.337534207388372e-09,1.6822280115887312e-09,1.045930572880787e-09,2.53424262331057e-09,True
S6,gap_max_res,1.023628328591884e-09,1.5690344726497802e-09,1.0214051082100538e-09,2.51708464351424e-09,True
S6,gap_ini_set,1.3836216280271935e-09,1.2782427258503894e-09,5.724429435268086e-10,2.2215704987489253e-09,True
S6,gap_ini_res,7.026789740388443e-11,1.5175801060376585e-10,5.795467412798953e-11,2.3912574871562495e-10,True
S7,I0,0.0015105343583076427,0.004076964519439692,0.000699800557278549,0.009328768035264832,True
S7,g0,3.5565706364587137e-10,3.926857888389499e-10,1.7886635868564797e-10,4.969788105792749e-10,True
S7,Rs,12.636920344385985,160.53331095999047,10.904321953099917,2522.752032032914,True
S7,V0_set,0.7049664229795968,1.0108633284435706,0.707907149174741,1.4055218662373052,False
S7,V0_res,0.7819619526805144,0.8989554216315616,0.6896010408217391,1.3971400473468132,True
S7,gamma0_set,19.335930101979397,17.460689595395635,4.646751782906686,23.814371824720435,True
S7,Ea_set,0.6250116272716502,0.3859883755193662,0.10555694616877387,0.967324771905657,True
S7,Ea_res,0.7849781510049079,0.6418509106333355,0.12578590488267527,0.9773354331804561,True
S7,F_min_set,1211304044.191335,1107142084.4629214,512379002.68642044,2844419440.5096984,True
S7,F_min_res,1286357367.7002394,1630865087.362967,525676744.6097815,2954930981.9069643,True
S7,Vel0_set,1.0281498905010367,2.5553775268905086,0.12036211623272003,17.973208975247484,True
S7,Vel0_res,3.1719720301586345,1.891469060011569,0.1100937244356543,17.028946171523593,True
S7,gap_max_set,1.9215697429796453e-09,1.7879771129981155e-09,1.0328918792635899e-09,2.529996089657605e-09,True
S7,gap_max_res,1.0950204895427181e-09,1.6167694779465685e-09,1.0370544423479493e-09,2.547233928449471e-09,True
S7,gap_ini_set,1.3446709789942827e-09,1.2116845731444845e-09,5.291812500388049e-10,2.191640477415586e-09,True
S7,gap_ini_res,1.2118885803076651e-10,1.5199181834312508e-10,5.839899985593576e-11,2.406492735405968e-10,True
S8,I0,0.0012088282787526203,0.0038178191268644817,0.0007890256184370896,0.008673193538374677,True
S8,g0,3.977702449632433e-10,3.8230414046722247e-10,1.783702625386423e-10,4.961006358989353e-10,True
S8,Rs,34.64200412618905,508.38128120210695,10.760283125416674,3399.6795167249984,True
S8,V0_set,0.6663577508740223,0.7010450058862312,0.5292447031514051,1.050454114083048,True
S8,V0_res,0.6364716881358023,0.6777263069423685,0.5301537669418018,1.0640248873897018,True
S8,gamma0_set,19.462157868477387,15.444478154577467,4.368885047041094,23.68869674292605,True
S8,Ea_set,0.5716377405498035,0.4316464511525177,0.10858684318847699,0.9611189475365421,True
S8,Ea_res,0.7597081058934114,0.6055008332903242,0.11256916357422882,0.9824474912360407,True
S8,F_min_set,1069048608.6604445,1083684601.1061041,508450309.3738708,2841035437.0767393,True
S8,F_min_res,968169554.0588856,2495027563.834025,563743731.3757389,2975537101.333336,True
S8,Vel0_set,0.17381181714367908,1.847833365983042,0.12017656024640136,19.022359945160225,True
S8,Vel0_res,17.75027556929627,1.1341651493876637,0.10583448916916893,18.3815076689792,True
S8,gap_max_set,1.3189939388380364e-09,1.7162432256754435e-09,1.0605950693302494e-09,2.501472123777183e-09,True
S8,gap_max_res,1.0531812239776679e-09,1.6419778591387202e-09,1.0384324894240687e-09,2.5178468041300025e-09,True
S8,gap_ini_set,1.4636474779125005e-09,1.3083115726489948e-09,5.545525024566755e-10,2.1996130000478695e-09,True
S8,gap_ini_res,1.558575719834677e-10,1.4137884240276212e-10,5.5520023493605865e-11,2.408968313555343e-10,True
S9,I0,0.006471297810828681,0.006378024785188372,0.0006660168579334425,0.009564273190050697,True
S9,g0,2.9566987022445206e-10,3.461675617787585e-10,1.7502399133221674e-10,4.931241579573612e-10,True
S9,Rs,420.3630308950304,494.2549055814148,10.189096825935858,1917.1867258588084,True
S9,V0_set,1.3572679569063162,0.9206217261975584,0.07066331670508384,1.9140981384323998,True
S9,V0_res,1.302389477828007,1.08111909823206,0.09693620834671654,1.9619785858369607,True
S9,gamma0_set,17.942285661794227,16.522021115192928,5.153503995674524,23.733233498550465,True
S9,Ea_set,0.8458597569544083,0.47748548218117737,0.10546781562997815,0.9743462328933535,True
S9,Ea_res,0.2492027255757787,0.6189540287713257,0.12893536222510402,0.980784803125352,True
S9,F_min_set,1081609760.494346,1148569680.5554166,509505791.6026056,2749777965.7691813,True
S9,F_min_res,1046496760.1164801,1950224303.3879719,559149262.8453832,2972387526.8767242,True
