condition,device_id,total_cycles,good_cycles
S6,B6-03-4um-01,15,15
S6,B6-03-4um-03,20,20
S6,B6-03-4um-07,20,20
S6,B6-03-4um-08,20,20
S6,B6-03-4um-09,1,1
S6,B6-03-4um-10,11,11
S6,B6-03-4um-12,20,20
S6,C2-02-4um-01,20,20
S6,C2-02-4um-02,15,15
S6,C2-02-4um-03,20,20
S6,C2-02-4um-05,20,20
S6,C2-02-4um-09,20,20
S6,C2-02-4um-12,20,20
S6,C3-03-4um-01,20,20
S6,C3-03-4um-02,20,20
S6,C3-03-4um-03,20,20
S6,C3-03-4um-04,20,20
S6,C3-03-4um-07,20,20
S6,C3-03-4um-08,20,20
S6,C3-03-4um-09,20,20
S6,C4-04-4um-02,20,20
S6,C4-04-4um-04,20,20
S6,C4-04-4um-09,20,20
S6,C4-04-4um-11,20,20
S6,C4-04-4um-12,20,20
S7,B6-01-4um-02,20,20
S7,B6-01-4um-03,20,20
S7,B6-01-4um-04,20,20
S7,B6-01-4um-06,1,1
S7,B6-01-4um-07,20,20
S7,B6-01-4um-09,20,20
S7,B6-01-4um-10,8,8
S7,B6-01-4um-11,20,20
S7,B6-04-4um-01,3,3
S7,B6-04-4um-03,14,14
S7,B7-01-4um-01,20,20
S7,B7-01-4um-02,20,20
S7,B7-01-4um-06,20,20
S7,B7-01-4um-07,20,20
S7,B7-01-4um-08,20,20
S7,B7-01-4um-10,20,20
S7,B7-03-4um-01,20,20
S7,B7-03-4um-03,20,20
S7,B7-03-4um-04,20,20
S7,D1-02-4um-01,20,20
S7,D1-02-4um-02,20,20
S7,D1-02-4um-03,20,20
S7,D1-03-4um-01,20,20
S7,D1-03-4um-02,20,20
S7,D1-03-4um-03,20,20
S7,D1-03-4um-04,5,5
S7,D1-03-4um-09,9,9
S8,A8-02-4um-01,20,20
S8,A8-02-4um-02,20,20
S8,A8-02-4um-03,20,20
S8,A8-02-4um-04,20,20
S8,A8-02-4um-05,20,20
S8,A8-02-4um-06,20,20
S8,A8-02-4um-07,20,20
